alpha,k,ppv,coverage
0.01,6,1.0,0.01
0.019999999999999997,13,1.0,0.019999999999999997
0.03,20,1.0,0.03
0.039999999999999994,27,1.0,0.039999999999999994
0.049999999999999996,34,1.0,0.049999999999999996
0.05999999999999999,41,0.926829268292683,0.05999999999999999
0.06999999999999999,48,0.8958333333333334,0.06999999999999999
0.07999999999999999,55,0.8363636363636363,0.07999999999999999
0.08999999999999998,62,0.8064516129032258,0.08999999999999998
0.09999999999999998,69,0.7971014492753623,0.09999999999999998
0.10999999999999997,76,0.7631578947368421,0.10999999999999997
0.11999999999999998,82,0.7439024390243902,0.11999999999999998
0.12999999999999998,89,0.7191011235955056,0.12999999999999998
0.13999999999999999,96,0.6979166666666666,0.13999999999999999
0.15,103,0.6699029126213593,0.15
0.15999999999999998,110,0.6454545454545455,0.15999999999999998
0.16999999999999998,117,0.6153846153846154,0.16999999999999998
0.18,124,0.6048387096774194,0.18
0.18999999999999997,131,0.5801526717557252,0.18999999999999997
0.19999999999999998,138,0.5652173913043478,0.19999999999999998
0.20999999999999996,145,0.5448275862068965,0.20999999999999996
0.21999999999999997,152,0.5197368421052632,0.21999999999999997
0.22999999999999998,158,0.5063291139240507,0.22999999999999998
0.23999999999999996,165,0.48484848484848486,0.23999999999999996
0.24999999999999997,172,0.47093023255813954,0.24999999999999997
0.25999999999999995,179,0.46368715083798884,0.25999999999999995
0.26999999999999996,186,0.45161290322580644,0.26999999999999996
0.27999999999999997,193,0.44041450777202074,0.27999999999999997
0.29,200,0.43,0.29
0.3,207,0.41545893719806765,0.3
