cik,ticker,form,companyName,accessionNumber,acceptanceDateTime,primaryDocument,path
0000789019,MSFT,8-K,,0000950170-25-100226,2025-07-30T20:08:53+00:00,msft-20250730.htm,data\raw\filings\us\0000789019\0000950170-25-100226
0000789019,MSFT,10-K,,0000950170-25-100235,2025-07-30T20:11:40+00:00,msft-20250630.htm,data\raw\filings\us\0000789019\0000950170-25-100235
0000320193,AAPL,8-K,,0000320193-25-000071,2025-07-31T20:30:25+00:00,aapl-20250731.htm,data\raw\filings\us\0000320193\0000320193-25-000071
0000320193,AAPL,10-Q,,0000320193-25-000073,2025-08-01T10:00:42+00:00,aapl-20250628.htm,data\raw\filings\us\0000320193\0000320193-25-000073
